id,SampleName,SampleNumber,SampleorControl,bin_var,Position,Facility,Vector of Transmission,Description,SourceSink,Env,Pig,SeqTech,Listeria
2.0,GE 1,53,Sample,Meat,Evisceration,Slaughterhouse,Product,GE 1,Sink,Evisceration,A,Pacbio,
2.9,GE 10,62,Sample,Meat,Evisceration,Slaughterhouse,Product,GE 10,Sink,Evisceration,J,Pacbio,
2.1,GE 11,63,Sample,Meat,Evisceration,Slaughterhouse,Product,GE 11,Sink,Evisceration,K,Pacbio,
2.11,GE 12,64,Sample,Meat,Evisceration,Slaughterhouse,Product,GE 12,Sink,Evisceration,L,Pacbio,
2.2,GE 3,55,Sample,Meat,Evisceration,Slaughterhouse,Product,GE 3,Sink,Evisceration,C,Pacbio,
2.3,GE 4,56,Sample,Meat,Evisceration,Slaughterhouse,Product,GE 4,Sink,Evisceration,D,Pacbio,
2.4,GE 5,57,Sample,Meat,Evisceration,Slaughterhouse,Product,GE 5,Sink,Evisceration,E,Pacbio,
2.5,GE 6,58,Sample,Meat,Evisceration,Slaughterhouse,Product,GE 6,Sink,Evisceration,F,Pacbio,
2.6,GE 7,59,Sample,Meat,Evisceration,Slaughterhouse,Product,GE 7,Sink,Evisceration,G,Pacbio,
2.7,GE 8,60,Sample,Meat,Evisceration,Slaughterhouse,Product,GE 8,Sink,Evisceration,H,Pacbio,
2.8,GE 9,61,Sample,Meat,Evisceration,Slaughterhouse,Product,GE 9,Sink,Evisceration,I,Pacbio,
1.24,GF 1 ,25,Sample,Meat,Singeing,Slaughterhouse,Product,GF 1,Sink,Singeing,A,Pacbio,
1.33,GF 10,34,Sample,Meat,Singeing,Slaughterhouse,Product,GF 10,Sink,Singeing,J,Pacbio,
1.34,GF 11,35,Sample,Meat,Singeing,Slaughterhouse,Product,GF 11,Sink,Singeing,K,Pacbio,
1.35,GF 12,36,Sample,Meat,Singeing,Slaughterhouse,Product,GF 12,Sink,Singeing,L,Pacbio,
1.25,GF 2 ,26,Sample,Meat,Singeing,Slaughterhouse,Product,GF 2,Sink,Singeing,B,Pacbio,
1.26,GF 3,27,Sample,Meat,Singeing,Slaughterhouse,Product,GF 3,Sink,Singeing,C,Pacbio,
1.27,GF 4,28,Sample,Meat,Singeing,Slaughterhouse,Product,GF 4,Sink,Singeing,D,Pacbio,
1.28,GF 5,29,Sample,Meat,Singeing,Slaughterhouse,Product,GF 5,Sink,Singeing,E,Pacbio,
1.29,GF 6,30,Sample,Meat,Singeing,Slaughterhouse,Product,GF 6,Sink,Singeing,F,Pacbio,
1.3,GF 7,31,Sample,Meat,Singeing,Slaughterhouse,Product,GF 7,Sink,Singeing,G,Pacbio,
1.31,GF 8,32,Sample,Meat,Singeing,Slaughterhouse,Product,GF 8,Sink,Singeing,H,Pacbio,
1.32,GF 9,33,Sample,Meat,Singeing,Slaughterhouse,Product,GF 9,Sink,Singeing,I,Pacbio,
2.12,GK 1,65,Sample,Meat,Classification,Slaughterhouse,Product,GK 1,Sink,Classification,A,Pacbio,
2.21,GK 10,74,Sample,Meat,Classification,Slaughterhouse,Product,GK 10,Sink,Classification,J,Pacbio,
2.22,GK 11,75,Sample,Meat,Classification,Slaughterhouse,Product,GK 11,Sink,Classification,K,Pacbio,
2.23,GK 12,76,Sample,Meat,Classification,Slaughterhouse,Product,GK 12,Sink,Classification,L,Pacbio,
2.13,GK 2,66,Sample,Meat,Classification,Slaughterhouse,Product,GK 2,Sink,Classification,B,Pacbio,
2.14,GK 3,67,Sample,Meat,Classification,Slaughterhouse,Product,GK 3,Sink,Classification,C,Pacbio,
2.15,GK 4,68,Sample,Meat,Classification,Slaughterhouse,Product,GK 4,Sink,Classification,D,Pacbio,
2.16,GK 5,69,Sample,Meat,Classification,Slaughterhouse,Product,GK 5,Sink,Classification,E,Pacbio,
2.18,GK 7,71,Sample,Meat,Classification,Slaughterhouse,Product,GK 7,Sink,Classification,G,Pacbio,
2.19,GK 8,72,Sample,Meat,Classification,Slaughterhouse,Product,GK 8,Sink,Classification,H,Pacbio,
2.32,GT 11,85,Sample,Meat,Truck,Slaughterhouse,Product,GT 11,Sink,Truck,K,Pacbio,
2.33,GT 12,86,Sample,Meat,Truck,Slaughterhouse,Product,GT 12,Sink,Truck,L,Pacbio,
2.24,GT 2 ,77,Sample,Meat,Truck,Slaughterhouse,Product,GT 2 ,Sink,Truck,B,Pacbio,
2.25,GT 3,78,Sample,Meat,Truck,Slaughterhouse,Product,GT 3,Sink,Truck,C,Pacbio,
2.26,GT 4,79,Sample,Meat,Truck,Slaughterhouse,Product,GT 4,Sink,Truck,D,Pacbio,MONO
2.27,GT 5,80,Sample,Meat,Truck,Slaughterhouse,Product,GT 5,Sink,Truck,E,Pacbio,
2.28,GT 6,81,Sample,Meat,Truck,Slaughterhouse,Product,GT 6,Sink,Truck,F,Pacbio,
2.29,GT 7,82,Sample,Meat,Truck,Slaughterhouse,Product,GT 7,Sink,Truck,G,Pacbio,
2.43,GT 9,96,Sample,Meat,Truck,Slaughterhouse,Product,GT 9,Sink,Truck,I,Pacbio,
1.0,GTOE 1,1,Sample,Meat,Sticking,Slaughterhouse,Product,GTOE 1,Source,Sticking,A,Pacbio,
1.9,GTOE 10,10,Sample,Meat,Sticking,Slaughterhouse,Product,GTOE 10,Source,Sticking,J,Pacbio,IN
1.1,GTOE 11,11,Sample,Meat,Sticking,Slaughterhouse,Product,GTOE 11,Source,Sticking,K,Pacbio,MONO
1.11,GTOE 12,12,Sample,Meat,Sticking,Slaughterhouse,Product,GTOE 12,Source,Sticking,L,Pacbio,
1.2,GTOE 3,3,Sample,Meat,Sticking,Slaughterhouse,Product,GTOE 3,Source,Sticking,C,Pacbio,
1.4,GTOE 5,5,Sample,Meat,Sticking,Slaughterhouse,Product,GTOE 5,Source,Sticking,E,Pacbio,
1.5,GTOE 6,6,Sample,Meat,Sticking,Slaughterhouse,Product,GTOE 6,Source,Sticking,F,Pacbio,
1.6,GTOE 7,7,Sample,Meat,Sticking,Slaughterhouse,Product,GTOE 7,Source,Sticking,G,Pacbio,
1.7,GTOE 8,8,Sample,Meat,Sticking,Slaughterhouse,Product,GTOE 8,Source,Sticking,H,Pacbio,
1.8,GTOE 9,9,Sample,Meat,Sticking,Slaughterhouse,Product,GTOE 9,Source,Sticking,I,Pacbio,IN
1.36,GW 1,37,Sample,Meat,Polishing,Slaughterhouse,Product,GW 1,Sink,Polishing,A,Pacbio,
1.45,GW 10,46,Sample,Meat,Polishing,Slaughterhouse,Product,GW 10,Sink,Polishing,J,Pacbio,
1.46,GW 11,47,Sample,Meat,Polishing,Slaughterhouse,Product,GW 11,Sink,Polishing,K,Pacbio,
1.47,GW 12,48,Sample,Meat,Polishing,Slaughterhouse,Product,GW 12,Sink,Polishing,L,Pacbio,
1.37,GW 2,38,Sample,Meat,Polishing,Slaughterhouse,Product,GW 2,Sink,Polishing,B,Pacbio,
1.38,GW 3,39,Sample,Meat,Polishing,Slaughterhouse,Product,GW 3,Sink,Polishing,C,Pacbio,
1.39,GW 4,40,Sample,Meat,Polishing,Slaughterhouse,Product,GW 4,Sink,Polishing,D,Pacbio,
1.41,GW 6,42,Sample,Meat,Polishing,Slaughterhouse,Product,GW 6,Sink,Polishing,F,Pacbio,
