taxonomy,sample204,sample34,sample170,sample72,sample222,sample5,sample100,sample123,sample87,sample147,sample59,sample105,sample171,sample210,sample33,sample132,sample169,sample127,sample177,sample4,sample224,sample0,sample14,sample12,sample96,sample8,sample125,sample189,sample187,sample16,sample115,sample61,sample104,sample38,sample120,sample139,sample128,sample9,sample25,sample107,sample162,sample70,sample223,sample2,sample192,sample212,sample85,sample106,sample60,sample175,sample179,sample80,sample17,sample66,sample88,sample134,sample78,sample130,sample51,sample32,sample64,sample143,sample23,sample92,sample27,sample73,sample39,sample135,sample122,sample168,sample182,sample93,sample156,sample118,sample1,sample116,sample52,sample181,sample26,sample103,sample209,sample151,sample148,sample207,sample145,sample219,sample108,sample178,sample196,sample119,sample7,sample101,sample191,sample18,sample44,sample75,sample215,sample198,sample74,sample144,sample126,sample217,sample117,sample158,sample152,sample102,sample35,sample95,sample15,sample165,sample62,sample136,sample221,sample19,sample161,sample77,sample202,sample94,sample49,sample22,sample99,sample214,sample110,sample133,sample86,sample124,sample13,sample90,sample159,sample98,sample24,sample55,sample63,sample53,sample188,sample42,sample163,sample180,sample208,sample47,sample89,sample84,sample216,sample167,sample153,sample71,sample220,sample43,sample21,sample164,sample211,sample6,sample206,sample131,sample28,sample176,sample184,sample36,sample20,sample112,sample190,sample48,sample57,sample174,sample195,sample203,sample185,sample218,sample11,sample150,sample213,sample46,sample45,sample114,sample113,sample83,sample10,sample31,sample82,sample41,sample37,sample149,sample30,sample129,sample173,sample76,sample183,sample186,sample160,sample142,sample121,sample199,sample69,sample166,sample155,sample68,sample141,sample146,sample111,sample157,sample67,sample138,sample154,sample194,sample201,sample172,sample193,sample56,sample79,sample3,sample197,sample81,sample29,sample97,sample58,sample54,sample50,sample65,sample40,sample200,sample91,sample137,sample205,sample140,sample109
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans,16,0,42,9,315,46,18,513,7,51,2,498,35,9,0,110,110,2,53,334,0,179,25,20,0,214,0,60,118,212,288,10,174,6,676,40,3,396,0,875,13,265,535,0,708,12,0,15,230,129,221,22,9,0,0,264,3,1,1,0,0,24,2,81,4,33,4,16,550,160,4,0,287,63,77,52,3,126,6,8,169,2,267,54,801,70,778,217,95,110,243,7,66,23,0,23,28,245,1,64,630,17,29,162,890,0,0,31,21,150,0,39,235,0,19,93,20,2,528,18,8,14,10,381,0,54,178,154,168,1,1,0,3,16,59,0,25,333,50,45,0,0,6,111,392,46,12,0,0,83,14,2,1232,1,1,33,3,0,8,454,38,1205,0,100,248,74,216,111,74,5,1,13,34,1,34,0,297,1,0,0,4,423,0,26,35,20,27,29,4,486,266,1,13,157,42,1,32,10,330,149,4,3,60,12,22,88,4,2,52,7,1963,0,3,1,0,0,106,12,4,309,15,36,633,5,6
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus,0,0,0,13,0,0,1,0,0,0,12,0,0,0,126,123,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,6,0,102,0,1626,1,35,8,0,0,18,0,0,0,2,13,0,0,0,0,64,75,57,0,51,19,71,0,28,72,0,0,846,515,238,289,29,0,0,0,123,0,16,0,0,106,0,509,0,2,15,0,0,0,0,0,0,0,7,0,245,0,118,0,34,0,0,24,1,0,0,0,0,0,388,222,0,0,0,49,165,0,70,0,0,0,1,0,56,53,0,129,57,0,0,2,0,0,0,79,565,58,28,0,16,0,0,0,0,1,0,0,0,28,0,0,5,159,0,3,0,0,6,725,0,0,602,80,0,0,1,29,0,0,0,0,0,0,8,0,1,0,142,66,0,1,8,0,236,219,0,51,117,0,9,0,0,0,0,0,0,89,0,0,92,2,0,0,0,2839,690,0,0,0,0,0,7,1672,0,0,0,437,0,0,459,0,9,94,0,52,3,0,0,80
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans,22,0,1,1,103,7,2,256,1,0,1,320,0,3,1,5,10,0,15,16,0,28,5,4,0,35,0,3,42,6,28,0,72,0,215,21,2,183,0,15,0,1,136,0,405,4,0,44,71,0,7,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,2,39,122,1,0,0,1,7,21,25,0,100,0,0,4,0,30,6,272,17,23,117,17,3,57,1,9,0,0,1,2,33,0,3,94,2,0,59,0,0,0,4,7,0,0,20,66,0,8,5,0,1,184,0,1,0,5,240,1,1,3,89,13,1,1,2,0,0,1,0,40,13,109,0,0,0,0,0,11,10,2,0,0,0,6,3,154,0,0,1,1,0,0,198,0,65,0,80,130,0,23,27,4,1,0,0,3,1,14,0,67,3,0,0,0,1,0,38,19,5,5,12,0,0,56,0,1,106,0,0,8,4,117,0,1,0,0,1,15,0,0,0,13,8,253,0,0,1,1,0,5,2,0,195,2,0,163,0,1
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus,0,0,0,7,0,0,4,0,0,0,2,0,0,0,63,35,0,0,1,0,0,0,0,0,9,0,0,8,0,0,0,4,0,22,0,460,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,10,57,42,0,32,5,10,0,21,16,0,0,318,283,17,181,0,0,0,1,36,0,20,0,0,39,0,191,0,0,3,1,0,0,0,0,2,0,0,0,49,8,32,0,18,0,0,5,0,0,0,0,0,0,84,70,0,0,0,12,47,0,34,0,0,0,0,0,37,9,0,12,21,0,0,0,0,0,0,38,160,13,4,0,5,0,0,0,1,0,0,0,0,0,3,0,0,46,0,0,0,0,0,210,0,0,127,30,0,1,0,12,0,0,0,0,0,0,3,0,5,0,98,32,0,0,1,0,146,71,0,26,21,1,2,0,0,3,0,0,0,49,0,0,35,0,0,0,0,862,211,0,0,4,0,0,1,598,0,0,0,166,0,0,82,0,3,58,0,17,0,0,0,31
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes,0,0,4,1,6,22,15,23,0,0,0,134,18,4,0,0,7,2,0,28,0,42,8,33,1,129,1,0,6,28,10,0,6,0,95,0,0,87,0,594,34,1,0,0,7,0,3,75,0,0,65,2,8,0,0,0,0,0,0,0,0,0,0,0,2,5,19,7,374,2,0,0,38,0,17,70,3,0,0,6,1,0,192,0,21,0,0,0,9,5,55,3,33,2,0,0,0,0,3,66,24,0,0,4,57,4,2,4,2,25,0,23,1,7,0,0,14,0,222,2,0,0,4,0,0,53,6,11,7,0,1,0,0,17,0,3,0,0,0,19,0,0,0,2,32,2,0,0,6,0,0,2,17,0,1,1,0,2,0,189,0,256,0,0,30,0,0,0,19,0,0,5,3,6,16,0,57,1,0,4,5,19,1,0,1,0,0,0,27,1,12,0,0,0,5,0,26,1,132,5,0,0,0,0,0,0,0,0,3,4,0,0,2,1,0,1,49,0,1,0,2,11,0,4,102
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ochrobactrum;pseudogrignonense,0,0,40,2,95,1,1,20,0,10,0,28,0,5,0,2,0,3,1,2,0,8,0,17,0,1,0,0,9,4,202,1,70,0,209,20,0,66,0,91,8,23,147,0,23,0,0,1,16,31,2,1,0,0,0,46,0,0,0,0,0,37,0,12,0,1,0,26,34,1,0,0,0,0,7,93,0,136,0,0,2,0,97,6,7,0,27,16,0,5,32,0,17,0,0,25,1,0,0,20,2,1,6,28,102,0,0,8,1,9,1,4,74,0,1,0,1,0,54,0,0,5,2,0,0,13,15,18,1,0,0,0,0,2,101,0,0,12,14,0,0,0,0,13,60,0,0,0,0,98,1,2,38,0,0,7,0,0,0,20,0,179,0,0,22,11,2,0,0,1,0,0,0,22,11,0,30,0,0,0,0,36,0,0,0,0,2,2,0,22,12,12,3,9,9,0,9,38,300,4,0,2,3,2,2,10,0,0,7,0,157,0,0,1,0,4,23,0,0,0,0,46,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus;NA,0,0,0,2,47,0,1,14,0,1,0,14,0,2,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,81,1,3,0,107,0,0,0,0,58,0,16,30,0,0,0,0,36,37,0,0,1,0,0,0,2,0,1,0,0,0,40,0,7,0,7,0,4,272,0,0,0,0,5,0,80,0,0,0,1,6,0,15,3,119,2,476,0,0,14,0,1,0,0,0,4,0,0,1,89,228,3,0,0,198,0,0,14,0,0,0,7,85,0,0,2,0,0,0,0,1,9,1,19,0,37,0,77,0,0,0,0,3,1,0,0,0,0,3,0,0,0,1,0,233,25,9,0,0,0,4,0,101,0,0,0,0,0,0,114,0,0,0,0,0,0,0,1,0,0,1,0,0,7,20,0,0,0,0,0,0,176,0,35,0,1,0,0,0,26,13,0,0,0,0,0,4,6,79,0,0,2,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,5,29,16,1,5
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;sanguinis,1,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,17,2,0,0,0,0,0,0,0,5,68,8,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,1,0,0,11,1,0,1,0,0,0,0,339,0,0,3,0,0,0,8,0,296,0,142,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,3,5,3,0,0,14,0,0,0,3,1,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,1,0,1,0,1,18,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1688,2,0,650,0,70,0,1,0,6,4,0,6,0,0,0,0,0,0,5,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus;NA,20,0,44,1,5,1,2,33,0,0,0,23,17,21,0,19,1,0,9,4,0,2,0,0,1,12,0,8,0,8,136,1,4,0,49,0,0,93,0,132,10,3,159,0,27,0,0,22,2,4,36,0,0,0,0,0,0,0,0,0,0,31,0,6,0,0,0,38,102,6,1,0,0,0,1,57,0,0,0,3,8,1,39,0,80,12,149,108,20,17,12,0,25,0,0,1,0,0,0,15,32,1,0,25,41,0,0,5,1,23,0,0,3,0,1,2,0,0,57,0,0,14,6,17,0,0,2,0,0,0,0,0,0,0,0,0,13,178,37,0,0,0,2,15,162,2,6,0,0,22,0,0,2,0,0,6,0,0,0,21,0,75,0,5,0,7,0,0,0,1,1,0,0,0,2,0,56,0,0,0,0,153,0,8,2,0,31,0,0,43,27,1,15,2,10,0,3,8,4,2,0,2,0,1,0,1,1,0,0,0,365,0,0,0,1,4,23,0,0,0,2,21,27,0,8
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;NA,0,0,0,17,4,0,22,0,0,0,25,0,0,0,25,35,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,0,86,0,249,0,0,1,0,0,5,0,0,0,0,15,0,0,0,0,12,4,3,0,14,5,41,0,92,2,0,0,6,28,42,48,43,0,0,2,2,0,118,0,0,18,0,3,0,46,3,0,0,0,0,0,0,0,12,0,172,26,6,0,22,0,0,4,0,0,0,0,0,0,178,36,0,0,0,5,22,0,13,0,14,0,0,0,1,25,2,9,3,0,0,0,0,0,0,2,193,42,44,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,108,31,0,0,26,5,0,11,0,3,0,0,0,0,0,0,0,0,0,0,17,28,0,0,32,0,99,16,0,117,2,0,11,0,0,0,0,0,7,147,0,0,3,0,0,0,0,89,25,0,0,7,0,0,81,10,0,0,1,59,0,7,187,0,0,60,0,12,42,4,0,119
