id,bin_var
sample103,Surface
sample105,Surface
sample92,Surface
sample151,Meat
sample194,Surface
sample175,Meat
sample117,Meat
sample205,Surface
sample119,Surface
sample44,Meat
sample104,Surface
sample106,Surface
sample121,Meat
sample78,Surface
sample54,Meat
sample39,Surface
sample87,Meat
sample176,Meat
sample190,Surface
sample38,Surface
sample2,Meat
sample149,Meat
sample18,Meat
sample41,Meat
sample6,Meat
sample112,Meat
sample217,Surface
sample177,Meat
sample182,Surface
sample22,Meat
sample108,Surface
sample219,Surface
sample139,Meat
sample142,Meat
sample67,Meat
sample27,Meat
sample14,Meat
sample74,Meat
sample86,Meat
sample10,Meat
sample65,Surface
sample165,Surface
sample134,Meat
sample206,Surface
sample198,Surface
sample191,Surface
sample146,Meat
sample208,Surface
sample169,Surface
sample211,Surface
sample125,Meat
sample127,Meat
sample25,Meat
sample145,Meat
sample131,Surface
sample82,Surface
sample170,Surface
sample210,Surface
sample222,Surface
sample69,Surface
sample126,Meat
sample184,Surface
sample195,Surface
sample128,Meat
sample77,Meat
sample209,Surface
sample102,Surface
sample174,Meat
sample68,Surface
sample193,Surface
sample130,Surface
sample135,Meat
sample160,Surface
sample81,Surface
sample29,Meat
sample186,Surface
sample97,Surface
sample122,Meat
sample158,Surface
sample150,Meat
sample89,Surface
sample76,Surface
sample216,Surface
sample223,Surface
sample55,Meat
sample164,Surface
sample154,Surface
sample57,Meat
sample75,Surface
sample115,Meat
sample120,Meat
sample213,Surface
sample215,Surface
sample183,Surface
sample11,Meat
sample3,Meat
sample28,Meat
sample56,Meat
sample168,Surface
sample7,Meat
sample16,Meat
sample24,Meat
sample88,Meat
sample30,Meat
sample80,Surface
sample8,Meat
sample107,Surface
sample124,Meat
sample70,Surface
sample26,Meat
sample144,Meat
sample50,Meat
sample13,Meat
sample101,Surface
sample141,Meat
sample178,Meat
sample133,Surface
sample95,Surface
sample83,Surface
sample33,Meat
sample20,Meat
sample0,Meat
sample207,Surface
sample60,Meat
sample79,Surface
sample163,Surface
sample180,Surface
sample181,Surface
sample185,Surface
sample147,Meat
sample214,Surface
sample52,Meat
sample49,Meat
sample224,Surface
sample72,Surface
sample62,Meat
sample5,Meat
sample161,Surface
sample173,Surface
sample192,Surface
sample32,Meat
sample45,Meat
sample202,Surface
sample212,Surface
sample200,Surface
sample143,Meat
sample48,Meat
sample61,Meat
sample204,Surface
sample148,Meat
sample100,Surface
sample157,Surface
sample203,Surface
sample23,Meat
sample220,Surface
sample15,Meat
sample166,Surface
sample218,Surface
sample113,Meat
sample63,Meat
sample189,Surface
sample59,Meat
sample171,Surface
sample94,Surface
sample51,Meat
sample199,Surface
sample73,Surface
sample12,Meat
sample132,Surface
sample159,Surface
sample58,Meat
sample47,Meat
sample1,Meat
sample197,Surface
sample196,Surface
sample91,Surface
sample85,Meat
sample4,Meat
sample123,Meat
sample19,Meat
sample21,Meat
sample64,Meat
sample152,Meat
sample156,Surface
sample201,Surface
sample109,Surface
sample187,Surface
sample110,Surface
sample31,Meat
sample96,Surface
sample36,Meat
sample66,Meat
sample155,Surface
sample172,Surface
sample43,Meat
sample140,Meat
sample162,Surface
sample138,Meat
sample37,Meat
sample114,Meat
sample53,Meat
sample84,Meat
sample129,Surface
sample118,Meat
sample179,Surface
sample9,Meat
sample35,Meat
sample137,Meat
sample116,Meat
sample42,Meat
sample221,Surface
sample17,Meat
sample93,Surface
sample98,Surface
sample71,Surface
sample136,Meat
sample188,Surface
sample167,Surface
sample40,Meat
sample111,Meat
sample153,Meat
sample46,Meat
sample34,Meat
sample90,Surface
sample99,Surface
